seed,epsilon,step_size,heuristic,episodes_requested,episodes_to_converge,elapsed_seconds
121,0.05,0.05,zero,1000000,310033,580.04
121,0.05,0.1,zero,1000000,387648,857.11
121,0.05,0.2,zero,1000000,205384,444.32
121,0.05,0.5,zero,1000000,178748,390.03
121,0.1,0.05,zero,1000000,219702,482.76
121,0.1,0.1,zero,1000000,481303,1098.14
121,0.1,0.2,zero,1000000,245052,556.52
121,0.1,0.5,zero,1000000,196265,437.86
121,0.2,0.05,zero,1000000,782386,1808.38
121,0.2,0.1,zero,1000000,351709,838.99
121,0.2,0.2,zero,1000000,180459,406.53
121,0.2,0.5,zero,1000000,170843,377.43
121,0.3,0.05,zero,1000000,731808,1516.47
121,0.3,0.1,zero,1000000,337431,641.18
121,0.3,0.2,zero,1000000,237782,439.95
121,0.3,0.5,zero,1000000,261807,487.45
122,0.05,0.05,zero,1000000,257279,465.82
122,0.05,0.1,zero,1000000,154423,267.93
122,0.05,0.2,zero,1000000,128614,216.35
122,0.05,0.5,zero,1000000,160856,280.17
122,0.1,0.05,zero,1000000,310615,573.06
122,0.1,0.1,zero,1000000,234146,425.21
122,0.1,0.2,zero,1000000,220414,399.84
122,0.1,0.5,zero,1000000,205237,370.27
122,0.2,0.05,zero,1000000,579277,1116.98
122,0.2,0.1,zero,1000000,377120,710.63
122,0.2,0.2,zero,1000000,204137,370.01
122,0.2,0.5,zero,1000000,212443,390.82
122,0.3,0.05,zero,1000000,562911,1094.73
122,0.3,0.1,zero,1000000,319809,606.9
122,0.3,0.2,zero,1000000,186920,338.4
122,0.3,0.5,zero,1000000,216197,397.71
123,0.05,0.05,zero,1000000,145606,249.49
123,0.05,0.1,zero,1000000,300944,553.52
123,0.05,0.2,zero,1000000,214257,385.3
123,0.05,0.5,zero,1000000,210678,380.62
123,0.1,0.05,zero,1000000,371382,697.63
123,0.1,0.1,zero,1000000,388509,730.79
123,0.1,0.2,zero,1000000,262556,483.94
123,0.1,0.5,zero,1000000,177817,318.88
123,0.2,0.05,zero,1000000,476076,913.34
123,0.2,0.1,zero,1000000,334538,631.46
123,0.2,0.2,zero,1000000,206206,375.8
123,0.2,0.5,zero,1000000,171355,306.66
123,0.3,0.05,zero,1000000,711081,1387.58
123,0.3,0.1,zero,1000000,295909,555.61
123,0.3,0.2,zero,1000000,190416,346.23
123,0.3,0.5,zero,1000000,211378,388.05
124,0.05,0.05,zero,1000000,258198,470.05
124,0.05,0.1,zero,1000000,167846,294.1
124,0.05,0.2,zero,1000000,193277,345.21
124,0.05,0.5,zero,1000000,169766,300.69
124,0.1,0.05,zero,1000000,212151,383.11
124,0.1,0.1,zero,1000000,213843,385.67
124,0.1,0.2,zero,1000000,167146,295.28
124,0.1,0.5,zero,1000000,206053,375.44
124,0.2,0.05,zero,1000000,585719,1132.55
124,0.2,0.1,zero,1000000,439090,841.18
124,0.2,0.2,zero,1000000,160858,285.25
124,0.2,0.5,zero,1000000,233151,430.78
124,0.3,0.05,zero,1000000,767505,1514.58
124,0.3,0.1,zero,1000000,362175,860.33
124,0.3,0.2,zero,1000000,182962,361.63
124,0.3,0.5,zero,1000000,285348,589.02
125,0.05,0.05,zero,1000000,324347,641.64
125,0.05,0.1,zero,1000000,213967,471.87
125,0.05,0.2,zero,1000000,232569,520.38
125,0.05,0.5,zero,1000000,169192,379.23
125,0.1,0.05,zero,1000000,632958,1263.62
125,0.1,0.1,zero,1000000,369202,690.73
125,0.1,0.2,zero,1000000,204613,370.16
125,0.1,0.5,zero,1000000,156525,277.42
125,0.2,0.05,zero,1000000,762779,1486.68
125,0.2,0.1,zero,1000000,292565,605.09
125,0.2,0.2,zero,1000000,191421,368.06
125,0.2,0.5,zero,1000000,237589,459.76
125,0.3,0.05,zero,1000000,826691,1790.77
125,0.3,0.1,zero,1000000,401717,813.42
125,0.3,0.2,zero,1000000,216065,404.45
125,0.3,0.5,zero,1000000,275726,526.53
